name,clsid,z_cluster,R200_Mpc,peak_spec_m,peak_spec_m_density,peak_photo_m,peak_photo_m_density,z_offset_m,peak_spec_mi,peak_spec_mi_density,peak_photo_mi,peak_photo_mi_density,z_offset_mi,rmse_base_m,rmse_base_mi,rmse_om_m,rmse_om_mi,rel_om_m,rel_om_mi,rmse_omi_m,rmse_omi_mi,rel_omi_m,rel_omi_mi
WBL074,64,0.022726,0.836071,0.021787708140703518,43.98236833336135,0.024985438341708542,9.467014952440202,0.0031977302010050244,0.022186776844221108,25.47860798445794,0.02579755969748744,12.059505424595537,0.0036107828532663325,0.00961121716094008,0.009282276662177085,0.007720810477323012,0.00792948499001726,-0.1966875424789764,-0.14573921047538982,0.0075412292149354175,0.00783329925830146,-0.21537209193618886,-0.15610151007239836
[YMV2007]49,66,0.05512,0.632561,0.05429385181407035,27.262471789566447,0.05544908040201005,3.884052855986765,0.0011552285879396981,0.05460961108542713,19.089765224231236,0.055105220633165836,5.366595204773978,0.0004956095477387026,0.007569689167988129,0.009668037369178827,0.007500964501415291,0.009691534988834648,-0.009078928480111345,0.002430443611102459,0.007518572971262608,0.00966122110956224,-0.006752747119616067,-0.0007050303341106787
WBL288,67,0.039426,0.691517,0.03902675270351759,33.92319622421184,0.037929547301507535,4.617946765852333,-0.0010972054020100541,0.03891936685427136,14.775314875331912,0.03720592889447236,5.526781040403145,-0.0017134379597989954,0.008138227272841038,0.009138334339739148,0.008218087051978571,0.00925504986429773,0.009812920733246487,0.01277207861076287,0.008326250627874347,0.009376435658284615,0.023103723787707697,0.026055220753967684
MKW1,68,0.021,0.765779,0.020564558994974873,26.86177637612229,0.023990155251256282,2.4208238819206933,0.003425596256281409,0.034657400000000005,11.312821066572193,0.035406933673366836,6.526665045209286,0.0007495336733668312,0.011379597323166271,0.009499969026093995,0.009595425447704404,0.008348898561962392,-0.15678690772560988,-0.12116570706387632,0.010922505640955918,0.009151405392353118,-0.04016764998176335,-0.036691028442667716
[YMV2007]4713,69,0.052894,0.538199,0.05318154298994975,31.365360694050956,0.05469059424120603,2.2150811316587165,0.001509051251256277,0.052532131748743716,12.048972810331222,0.05224951015075377,3.153222950770572,-0.000282621597989946,0.00978008638211078,0.012010014058968508,0.009684141154599457,0.012075047931834053,-0.009810263811863874,0.0054149705858987165,0.009823757349163513,0.01201887895560163,0.004465294614637841,0.0007381254168059101
A2870,74,0.023216,0.594019,0.02238343718592965,27.717899961965895,0.024957544125628138,8.675225804934342,0.0025741069396984888,0.022983396984924624,23.312844764690432,0.025211773658291456,13.401805340642861,0.0022283766733668317,0.005767313717875381,0.005795112333930642,0.004897645536661859,0.00513559459875557,-0.15079259144825902,-0.11380585865671078,0.0049459320258806,0.0051548191286869705,-0.14242015124805277,-0.11048848897970895
ESO351-021,81,0.056897,0.762836,0.05721356783919598,6.689574904181712,0.05441862341708543,0.9324320846043402,-0.0027949444221105554,0.05704092462311558,2.231434508419833,0.0545635348241206,1.9100505734797355,-0.002477389798994978,0.005957362079830412,0.0055135384441929525,0.005459418618068693,0.005865518295597297,-0.08358455556152697,0.0638391941884547,0.005446508103791949,0.005758692350920501,-0.08575170842276646,0.04446398791065892
A133,82,0.056638,0.808241,0.05601486432160804,8.86634228967338,0.05746621341708543,3.088587581112949,0.0014513490954773875,0.05573819597989949,7.159734589410827,0.057700132798994976,4.320599700152707,0.0019619368190954833,0.004959877980259716,0.0054726231234176765,0.005183766042202813,0.005384958671226194,0.04513983263986933,-0.01601872634283204,0.005354636146166939,0.005446527979839733,0.07959029788199593,-0.004768306347696513
A3104,83,0.073,0.699061,0.07375920100502513,6.17246865666846,0.06958794304522613,1.592311001824389,-0.004171257959799002,0.07504496984924623,4.685051327013038,0.07176228179899498,3.2332106537392034,-0.0032826880502512534,0.00620257613343795,0.007318012185556086,0.0062388234812681435,0.006113222310512498,0.005843918244676513,-0.16463348850682968,0.005992491513179889,0.006156433433504849,-0.03387054277745978,-0.15872872613465996
A463,84,0.040085,1.276409,0.039276698492462306,19.68482662797225,0.04140211390954774,9.168419539584603,0.002125415417085434,0.04091437185929648,16.02763069777464,0.041863092150753775,10.540072928767222,0.0009487202914572959,0.0045466045607613975,0.005846949161478337,0.004734916833291393,0.0062813916441463,0.04141822100720801,0.07430242177069298,0.004509482644278618,0.005951672850720037,-0.008164755915470027,0.017910826030719446
CODEX-59603,86,0.061004,0.542878,0.06135114417085427,17.322855343800207,0.06131965964824121,1.976692265696963,-3.148452261306223e-05,0.06142607135678392,4.50083197556293,0.06268382540703517,2.6982015865484628,0.0012577540502512474,0.007569384233802653,0.010095203473421894,0.007579274466480808,0.010091400696124478,0.0013066099398136974,-0.00037669149586019553,0.007275432218785929,0.010324791428072718,-0.038834336577078556,0.02274228105013141
